image_path,caption
coco_pairs\images\COCO_train2014_000000025470.jpg,"A kitchen with brown cabinets, tile backsplash, and grey counters."
coco_pairs\images\COCO_train2014_000000513461.jpg,"A surfer, a woman, and a child walk on the beach."
coco_pairs\images\COCO_train2014_000000285579.jpg,"A person, protected from the rain by their umbrella, walks down the road."
coco_pairs\images\COCO_train2014_000000226658.jpg,"Two women preparing food in a kitchen, one at the sink and one at the table"
coco_pairs\images\COCO_train2014_000000314265.jpg,"A toilet, sink, bathtub with shower, mirror and cabinet"
coco_pairs\images\COCO_train2014_000000299675.jpg,"A kitchen with a tile floor has cabinets with no doors, a dishwasher, a sink, and a refrigerator."
coco_pairs\images\COCO_train2014_000000266366.jpg,"A clean, mediocre motel bathroom with a nice sink."
coco_pairs\images\COCO_train2014_000000101891.jpg,"Bicycles, cars and a trash can in a garage."
coco_pairs\images\COCO_train2014_000000503598.jpg,"A kitchen sink, counter, pots, and a dog dish."
coco_pairs\images\COCO_train2014_000000330238.jpg,"Many skiiers are gathered at the base of a hill, while several travel down it."
coco_pairs\images\COCO_train2014_000000543882.jpg,"A buffet table at a restaurant, covered with food."
coco_pairs\images\COCO_train2014_000000279939.jpg,"A bathroom contains a toilet, sink, and bathtub."
coco_pairs\images\COCO_train2014_000000002448.jpg,"A kitchen counter with chairs, refrigerator, and cupboards."
coco_pairs\images\COCO_train2014_000000253464.jpg,"A mid sized bathroom with toilette, shower and vanity mirror above a sink."
coco_pairs\images\COCO_train2014_000000480545.jpg,"A small bathroom containing a step, toilette and sink."
coco_pairs\images\COCO_train2014_000000376047.jpg,"A picture of some appliances stove, dishwasher, refridgerator and microwave, in a kitchen."
coco_pairs\images\COCO_train2014_000000520049.jpg,"A man on an old-fashioned bicycle, biking across a bridge."
coco_pairs\images\COCO_train2014_000000476220.jpg,"A small kitchen with sink, stove and refrigerator."
coco_pairs\images\COCO_train2014_000000471895.jpg,"A bathroom featuring an oddly shaped toilette, shower and sink."
coco_pairs\images\COCO_train2014_000000579846.jpg,"A hall opening onto a bathroom, bedroom, and two other rooms."
coco_pairs\images\COCO_train2014_000000189278.jpg,"There are two ovens in a kitchen restaurant, and one of them is being used."
coco_pairs\images\COCO_train2014_000000056972.jpg,"A bathroom with a sink, cabinet, mirror and picture."
coco_pairs\images\COCO_train2014_000000466800.jpg,"Different types of tiles are on the walls, floor and tub."
coco_pairs\images\COCO_train2014_000000170045.jpg,"A woman stands in the kitchen, surrounded by wood cabinets and stainless steel appliances."
coco_pairs\images\COCO_train2014_000000461221.jpg,"A kitchen, with sink, stove, and a white cabinet."
coco_pairs\images\COCO_train2014_000000416909.jpg,"A clean bathroom with sink, toilet and shower."
coco_pairs\images\COCO_train2014_000000416565.jpg,"A small wood paneled bathroom with a sink, mirror and toilette."
coco_pairs\images\COCO_train2014_000000161657.jpg,"The overhead view of a tiled bathroom  with a tub, shower, toilet, bidet, and sink."
coco_pairs\images\COCO_train2014_000000213532.jpg,"Two children sitting down, one with his arm over the other."
coco_pairs\images\COCO_train2014_000000256950.jpg,"The restaurant kitchen is highly lit, displaying the colorful bowls."
coco_pairs\images\COCO_train2014_000000210082.jpg,"A bathroom scene with open double doors, double sinks and a bathtub."
coco_pairs\images\COCO_train2014_000000565906.jpg,"A clean bathroom toilet, shower, and sink with a tiled floor."
coco_pairs\images\COCO_train2014_000000422774.jpg,"A fountain in the middle of town, with places to sit nearby."
coco_pairs\images\COCO_train2014_000000573518.jpg,"A computer keyboard, with black keys and white lettering."
coco_pairs\images\COCO_train2014_000000079143.jpg,"A light is on in an empty, clean bathroom."
coco_pairs\images\COCO_train2014_000000334790.jpg,"A young man performing a trick on a skateboard,"
coco_pairs\images\COCO_train2014_000000350553.jpg,"A woman walking a bike, while a bus passes by."
coco_pairs\images\COCO_train2014_000000239644.jpg,"A woman with a dog on a leash, a bike, and a fancy outfit."
coco_pairs\images\COCO_train2014_000000166130.jpg,"A small with white appliances, cupboards and floor."
coco_pairs\images\COCO_train2014_000000549575.jpg,"unused kitchen stove, sink and counter topsand cabinettes"
coco_pairs\images\COCO_train2014_000000526165.jpg,"A man and woman celebrating a special occasion, about to blow out a candle."
coco_pairs\images\COCO_train2014_000000012459.jpg,"Skiers are all bundled up, one person is wearing a cow suit."
coco_pairs\images\COCO_train2014_000000445573.jpg,"An antique kitchen with a table, sink, stove and a fridge."
coco_pairs\images\COCO_train2014_000000293763.jpg,"In a small bathroom, the toilet is beside the sink"
coco_pairs\images\COCO_train2014_000000360871.jpg,"A kitchen with a microwave, refrigerator, and sink"
coco_pairs\images\COCO_train2014_000000292927.jpg,"The corner of a kitchen showing a dishwasher, sink and household items."
coco_pairs\images\COCO_train2014_000000362278.jpg,"Two pictures of an orange and white bathroom with toilet, shower stall, and counter/sink area."
coco_pairs\images\COCO_train2014_000000226517.jpg,"A kitchen with wooden drawers, table, chairs and stone counter tops."
coco_pairs\images\COCO_train2014_000000063943.jpg,"A street that has been blocked off and a tree is down, covering the street."
coco_pairs\images\COCO_train2014_000000141065.jpg,"A bathroom with a toilette, sink and bathtub."
coco_pairs\images\COCO_train2014_000000017866.jpg,"A bathroom with, blue shower curtains, a toilet, and sink."
coco_pairs\images\COCO_train2014_000000313798.jpg,"People preparing food surrounded by many bowls, buckets and baskets."
coco_pairs\images\COCO_train2014_000000013279.jpg,"The United States Postal Service delivers mail regardless of the weather, in this case, deep snow."
coco_pairs\images\COCO_train2014_000000458592.jpg,"A bathroom with a toilet, sink, and mirror."
coco_pairs\images\COCO_train2014_000000440827.jpg,"A large bathroom with a huge mirror, bathtub and toilet."
coco_pairs\images\COCO_train2014_000000511577.jpg,"A narrow bathroom with a sink, shower and toilet."
coco_pairs\images\COCO_train2014_000000053803.jpg,"There are cars, a motorbike and a bike on the parking lot."
coco_pairs\images\COCO_train2014_000000505980.jpg,"A young man in bathroom, looking at an image of himself in mirror."
coco_pairs\images\COCO_train2014_000000418409.jpg,"A woman sitting on a couch, looking at a lap top computer."
coco_pairs\images\COCO_train2014_000000451922.jpg,"A bathroom featuring a tile design, including the shower and sink."
coco_pairs\images\COCO_train2014_000000518415.jpg,"A bathroom showing toilet, shower, sink and vanity."
coco_pairs\images\COCO_train2014_000000133329.jpg,"A bathroom featuring the shower, toilet, sink and vanity."
coco_pairs\images\COCO_train2014_000000497528.jpg,"A stove that is open on the bottom, with dishes in it."
coco_pairs\images\COCO_train2014_000000070755.jpg,"Toothbrushes, toothpaste, and mouthwash cups draining upside down."
coco_pairs\images\COCO_train2014_000000510638.jpg,"Interior photo showing a toilet, desk and chair and objects hanging on the walls."
coco_pairs\images\COCO_train2014_000000298081.jpg,"A kitchen equipped with refrigerator, stove, microwave and sink."
coco_pairs\images\COCO_train2014_000000161486.jpg,"An empty kitchen with white appliances, counters, and cupboards."
coco_pairs\images\COCO_train2014_000000092714.jpg,"A bathroom with a sink mirror, and toilet."
coco_pairs\images\COCO_train2014_000000411238.jpg,"A street scene of people walking, cyclists, and motor vehicles."
coco_pairs\images\COCO_train2014_000000450904.jpg,"A bathroom with a wall mounted toilet and sink, photographed from outside a window."
coco_pairs\images\COCO_train2014_000000082003.jpg,"A kitchen cupboard above a counter, holding dishes."
coco_pairs\images\COCO_train2014_000000109588.jpg,"An empty bottle, two glasses, a glass cube and a plate sit on a counter."
coco_pairs\images\COCO_train2014_000000249470.jpg,"A kitchen with wood and white cabinets, a stove and refrigerator."
coco_pairs\images\COCO_train2014_000000264434.jpg,"A small, clean bathroom with the toilet seat down, but the lid is up."
coco_pairs\images\COCO_train2014_000000283996.jpg,"A bathroom with a tub and a sink, a picture on the wall over the tub."
coco_pairs\images\COCO_train2014_000000103861.jpg,"A bathroom with a toilet, sink, and bath."
coco_pairs\images\COCO_train2014_000000257392.jpg,"A mother carries a dish to the sink, and a young man carries a beer bottle toward a counter, as a young girl looks on."
coco_pairs\images\COCO_train2014_000000047434.jpg,"a toilet, sink, mirror and bathtub in a bathroom"
coco_pairs\images\COCO_train2014_000000109164.jpg,"A bathroom for a doll house with a bathtub, toilet, cabinet and painted tiles."
coco_pairs\images\COCO_train2014_000000463619.jpg,"A kitchen containing white cabinets, white appliances and beige counters."
coco_pairs\images\COCO_train2014_000000165499.jpg,"Bathroom that has a toilet, shower, and sink."
coco_pairs\images\COCO_train2014_000000515106.jpg,"A table and chairs covered with plates, bowls and a basket."
coco_pairs\images\COCO_train2014_000000382924.jpg,"A kitchen scene with a fridge, oven, and microwave."
coco_pairs\images\COCO_train2014_000000480728.jpg,"A bus and a van next to each other in foreign country,"
coco_pairs\images\COCO_train2014_000000199946.jpg,"A kitchen with counter tops, cabinets, a sink, and an oven is next to a living room."
coco_pairs\images\COCO_train2014_000000184435.jpg,"An old, periwinkle blue toilet sits without a lid."
coco_pairs\images\COCO_train2014_000000210597.jpg,"Inside there is a small kitchen and couch, with clutter, viewed through a lens."
coco_pairs\images\COCO_train2014_000000304078.jpg,"There is an empty cupboard in the corner near the kitchen sink, between two windows."
coco_pairs\images\COCO_train2014_000000476642.jpg,"A white toilet, sink and shower stand in a bathroom."
coco_pairs\images\COCO_train2014_000000448077.jpg,"A rustic, outdoor oven surrounded by pots and bowls."
coco_pairs\images\COCO_train2014_000000211968.jpg,"Small bathroom with sink, bath tub, and a chair by the window."
coco_pairs\images\COCO_train2014_000000253521.jpg,"An older, dirty bathroom has a large shower."
coco_pairs\images\COCO_train2014_000000113437.jpg,"A view of a bathroom with a mirror, lights, and sink visible."
coco_pairs\images\COCO_train2014_000000202601.jpg,"The men are talking on a sidewalk under a streetlight,  in view of a child's bike with a broken training wheel."
coco_pairs\images\COCO_train2014_000000465047.jpg,"A bicyclists with a back pack riding in the street, not in a bike path."
coco_pairs\images\COCO_train2014_000000504744.jpg,"A banana, oranges and apples in a bowl."
coco_pairs\images\COCO_train2014_000000157342.jpg,"Seven oranges in a blue and white bowl,"
coco_pairs\images\COCO_train2014_000000440444.jpg,"Kitchen with white cabinets, black drawer and door pulls and stainless steal appliances."
coco_pairs\images\COCO_train2014_000000449310.jpg,"A kitchen with stools, a white refrigerator and a microwave oven."
coco_pairs\images\COCO_train2014_000000369596.jpg,"A bathroom remodel in process with a new large tub and flooring, the toilet still in the tub."
coco_pairs\images\COCO_train2014_000000457888.jpg,"Two children playing in the grass, with animals grazing in the background."
coco_pairs\images\COCO_train2014_000000129310.jpg,"A bathroom with blue walls and a pink tub, toilet, and sink."
coco_pairs\images\COCO_train2014_000000523981.jpg,"Shelves filled with pots, pans, and cooking utensils."
coco_pairs\images\COCO_train2014_000000525510.jpg,"City street with various vehicles and several traffic lights, mountains in the background"
coco_pairs\images\COCO_train2014_000000168730.jpg,"A kitchen contains white cabinets, a white microwave, and a white fridge."
coco_pairs\images\COCO_train2014_000000460094.jpg,"A filthy bathroom full of debris, broken glass, and grime."
coco_pairs\images\COCO_train2014_000000315609.jpg,"An oven, fridge and cabinets in an empty kitchen."
coco_pairs\images\COCO_train2014_000000514514.jpg,"Black and white striped bathroom with a toilet, sink, and shower."
coco_pairs\images\COCO_train2014_000000181771.jpg,"Brightly colored kitchen with wooden floors, large images on wall, and small island."
coco_pairs\images\COCO_train2014_000000102320.jpg,"A clean bathroom with a toilet, tub, and sink."
coco_pairs\images\COCO_train2014_000000515870.jpg,"A white bathroom with a sink, mirror, toilet, and bathtub."
coco_pairs\images\COCO_train2014_000000028889.jpg,"Two guys talking while standing near a parking meter,"
coco_pairs\images\COCO_train2014_000000360870.jpg,"The people working in the kitchen are looking at something on the other side of the counter, that is lined with plates, glasses, and cooking utensils."
coco_pairs\images\COCO_train2014_000000308251.jpg,"A young lady with one arm in a sling, stands in the bathroom."
coco_pairs\images\COCO_train2014_000000104800.jpg,"A woman stands, straddling her bike, while a little dog sits in a basket on the handle bars."
coco_pairs\images\COCO_train2014_000000047418.jpg,"A small bathroom has a sink, mirror and shower."
coco_pairs\images\COCO_train2014_000000564451.jpg,"A small kitchen with window, cabinets, sink and table."
coco_pairs\images\COCO_train2014_000000104127.jpg,"a bathroom with a toilet, sink and window with the curtain open"
coco_pairs\images\COCO_train2014_000000134430.jpg,"A large tiled bathroom with a shelf of towels, small sink, mirror, rug, and shower curtain."
coco_pairs\images\COCO_train2014_000000560976.jpg,"A toilet next to a toilet bowl brush cleaner, a shower curtain and wooden door."
coco_pairs\images\COCO_train2014_000000232375.jpg,"A view of a small bathroom with a shower, toilet, and sink"
coco_pairs\images\COCO_train2014_000000186671.jpg,"A kitchen with a stainless steel stove, microwave and refrigerator."
coco_pairs\images\COCO_train2014_000000352398.jpg,"Kitchen with blue walls, a stove, and a white door."
coco_pairs\images\COCO_train2014_000000525180.jpg,"Three people in a kitchen with aprons, plates a stove and a fan."
coco_pairs\images\COCO_train2014_000000166403.jpg,"A bathroom with a toilet, wooden blinds a bathtub and shower curtain."
coco_pairs\images\COCO_train2014_000000533441.jpg,"Many people are at a sandy beach, some of which are carrying surfboards."
coco_pairs\images\COCO_train2014_000000174802.jpg,"A bathroom showing a toilet, toilet paper, and biohazard sign."
coco_pairs\images\COCO_train2014_000000336569.jpg,"A kitchen with wooden cabinets, a stove and one floor vent."
coco_pairs\images\COCO_train2014_000000077842.jpg,"a white bathroom with a sink, mirror and trash basket."
coco_pairs\images\COCO_train2014_000000519369.jpg,"A toilet, shower, and sink in a bathroom."
coco_pairs\images\COCO_train2014_000000546343.jpg,"a kitchen with granite counter tops, steel appliances and wooden stools."
coco_pairs\images\COCO_train2014_000000263734.jpg,"A kitchen with a fridge, sink, and several cabinets."
coco_pairs\images\COCO_train2014_000000152099.jpg,"a wall rack holding pots, pans, and oven pot holders."
coco_pairs\images\COCO_train2014_000000425817.jpg,"A woman squats, cooking over an open fire in a rustic kitchen."
coco_pairs\images\COCO_train2014_000000427493.jpg,"a kitchen with a wooden counter, black stools, and a steel refrigerator and stove."
coco_pairs\images\COCO_train2014_000000494599.jpg,"A person stands in a darkened bathroom, looking toward the floor."
coco_pairs\images\COCO_train2014_000000049581.jpg,"Light shines in a bathroom, with white toilet, sink, and bathtub."
coco_pairs\images\COCO_train2014_000000190187.jpg,"This open floor plan has a refrigerator and area rug, but little other furniture."
coco_pairs\images\COCO_train2014_000000224895.jpg,"A picture of a bathroom with a toilet, a sink, and a bathtub."
coco_pairs\images\COCO_train2014_000000524695.jpg,"A bathroom contains two sinks, a mirror, and a shower."
coco_pairs\images\COCO_train2014_000000049592.jpg,"People enjoy biking, sitting, and swimming on and in the beach."
coco_pairs\images\COCO_train2014_000000119114.jpg,"A lit bathroom shows sink, shower, and toilet."
coco_pairs\images\COCO_train2014_000000195583.jpg,"The bathroom has a sink, mirror, toilet, and tile floor."
coco_pairs\images\COCO_train2014_000000435809.jpg,"A kitchen with a steel refrigerator, stove and oven and a metal smoke chute above the stove."
coco_pairs\images\COCO_train2014_000000484304.jpg,"A bathroom with white tiles, a mirror, a sink, and toilet"
coco_pairs\images\COCO_train2014_000000124142.jpg,"A kitchen with a blender, microwave, toaster and refrigerator."
coco_pairs\images\COCO_train2014_000000244367.jpg,"An espresso machine, coffee cup, measuring cup and coffee on counter."
coco_pairs\images\COCO_train2014_000000276913.jpg,"A small kitchen with a window, sink and oven."
coco_pairs\images\COCO_train2014_000000467038.jpg,"People walking, people riding skateboards on the sidewalk, cars, buildings and lamp poles in the city at night."
coco_pairs\images\COCO_train2014_000000401777.jpg,"a bathroom with a long sink, two faucets and two mirrors."
coco_pairs\images\COCO_train2014_000000258026.jpg,"Kitchen view with stainless stove and refrigerator, beige cabinets."
coco_pairs\images\COCO_train2014_000000540795.jpg,"A white bathroom toilet, sink, and folded towels."
coco_pairs\images\COCO_train2014_000000279041.jpg,"Room with large mirror, bench and wash tub."
coco_pairs\images\COCO_train2014_000000114979.jpg,"A woman brushing her teeth, while a man takes a picture behind her."
coco_pairs\images\COCO_train2014_000000302618.jpg,"A tiled bathroom with sink, bathtub and shower is shown."
coco_pairs\images\COCO_train2014_000000545160.jpg,"A modern kitchen incorporates elements of stainless appliances, butcher block counters and an above cabinet nook for interesting collectibles."
coco_pairs\images\COCO_train2014_000000501773.jpg,"A bathroom with a window, tub and shower door."
coco_pairs\images\COCO_train2014_000000513609.jpg,"White bathroom with a sink, a towel bar and mirror."
coco_pairs\images\COCO_train2014_000000069616.jpg,"A cat tired to a door area with a blue bag over it, with a bike in the front view"
coco_pairs\images\COCO_train2014_000000176174.jpg,"A kitchen and dining room are featured along with a large dining room table, kitchen appliances and a chandelier."
coco_pairs\images\COCO_train2014_000000087126.jpg,"A modern kitchen features an island with glass panels, white cabinetry, a black refrigerator and a small window."
coco_pairs\images\COCO_train2014_000000253435.jpg,"A bathroom features a door with a window, a towel rack, a stack of towls and cabinets."
coco_pairs\images\COCO_train2014_000000208886.jpg,"A bathroom with a large mirror, window an dtub"
coco_pairs\images\COCO_train2014_000000543717.jpg,"A small, brightly lit building in a dark area."
coco_pairs\images\COCO_train2014_000000185884.jpg,"Most kids are sitting down while riding a bus, but one child wearing a striped shirt is standing."
coco_pairs\images\COCO_train2014_000000246307.jpg,"Small kitchen with a burner, table top space, and a small garbage can."
coco_pairs\images\COCO_train2014_000000006647.jpg,"A kitchen with a stove, grill, and ovens."
coco_pairs\images\COCO_train2014_000000049801.jpg,"A very funky, wildly decorated car has a leopard print design with a bunch of stuffed animals on top."
coco_pairs\images\COCO_train2014_000000242537.jpg,"There are two boards on the ground, there is also a man with a jacket on ."
coco_pairs\images\COCO_train2014_000000425243.jpg,"Looking into a shower with beige tile, mirror and sink in front of door."
coco_pairs\images\COCO_train2014_000000014034.jpg,"The are two bananas, the brand of them are dole."
coco_pairs\images\COCO_train2014_000000149791.jpg,"There is a bathtub, sink, and mirror visible in this picture of a bathroom interior."
coco_pairs\images\COCO_train2014_000000413984.jpg,"An orderly kitchen area utilizes bold red walls, glass front cabinet doors and up to date stainless appliances."
coco_pairs\images\COCO_train2014_000000055276.jpg,"Two men in yellow, one trying on a very strange hat."
coco_pairs\images\COCO_train2014_000000275206.jpg,"A sidewalk and street with a bus, a bike, and other vehicles."
coco_pairs\images\COCO_train2014_000000108254.jpg,"An elegant bathroom has a light up mirror, marble counter tops and dual sinks."
coco_pairs\images\COCO_train2014_000000026069.jpg,"A bathroom with white sink, toilet, mirror, vanity, tiled floors, and shower stall."
coco_pairs\images\COCO_train2014_000000052929.jpg,"people standing around a table covered with plates, a cake and some ice cream"
coco_pairs\images\COCO_train2014_000000417203.jpg,"A white bathroom with toilet, sink and mirror."
coco_pairs\images\COCO_train2014_000000292570.jpg,"A basic bathroom with a shower, sink and toilet."
coco_pairs\images\COCO_train2014_000000026260.jpg,"Woman with tattoed arm slicing food, making dinner at counter."
coco_pairs\images\COCO_train2014_000000241188.jpg,"A kitchen view with a double door fridge, cabinets, and an oven."
coco_pairs\images\COCO_train2014_000000208189.jpg,"A lady is standing in the rain, possibly looking off to the road."
coco_pairs\images\COCO_train2014_000000277848.jpg,"A bowl of bacon, spinach, tomatoes and cheese being put into empanadas."
coco_pairs\images\COCO_train2014_000000460791.jpg,"A clean bathroom includes a toilet, painting, sink and shower."
coco_pairs\images\COCO_train2014_000000383616.jpg,"A kitchen with a stove, microwave and sink."
coco_pairs\images\COCO_train2014_000000383564.jpg,"A lady walks down the sidewalk, as a man stands under an awning, nearby to a bike parked in front of a lamppost on a city street."
coco_pairs\images\COCO_train2014_000000143965.jpg,"A living space that has a brown couch, coffee table, fireplace, wood floors and tables and chairs is well lit by various lamps."
coco_pairs\images\COCO_train2014_000000475932.jpg,"Two men, one with red hair, sit on an old wooden bench."
coco_pairs\images\COCO_train2014_000000026190.jpg,"A tile bathroom with a toilet, cabinet, sink, mirror, tub, shower curtain, and towel is shown."
coco_pairs\images\COCO_train2014_000000167642.jpg,"A granite counter top with a sink is centered in a kitchen with a stove, cabinets, microwave, and a framed vintage advertisement for bicycles on the wall in the background."
coco_pairs\images\COCO_train2014_000000500273.jpg,"A bathroom sink with several toiletries, large vanity mirror, lights, and two floral decorations on the wall."
coco_pairs\images\COCO_train2014_000000522312.jpg,"A tile floor kitchen has two refrigerators, a sink, cabinets, a mat, and window."
coco_pairs\images\COCO_train2014_000000090961.jpg,"A large kitchen with an oven, stove top and a microwave."
coco_pairs\images\COCO_train2014_000000046068.jpg,"a toy ,with a dog riding a bike"
coco_pairs\images\COCO_train2014_000000179620.jpg,"There is a toilet with a picture above it, there are four rolls of tissue."
coco_pairs\images\COCO_train2014_000000001355.jpg,"a kitchen with a center isle stove, and stainless steel refrigerator."
coco_pairs\images\COCO_train2014_000000514280.jpg,"A bathroom painted yellow with a white toilet, shower and a sink."
coco_pairs\images\COCO_train2014_000000434127.jpg,"A kitchen with a chrome sink, wood cabinets and a marble countertop."
coco_pairs\images\COCO_train2014_000000233975.jpg,"A Bathroom with a toilet, sink, and records on the wall."
