image_path,caption
coco_pairs\images\COCO_train2014_000000368775.jpg,"A man wearing a suit with no shirt, walking on a city street pulling a roller bag."
coco_pairs\images\COCO_train2014_000000310435.jpg,"bathroom with toilet, a sink, and a bathtub."
coco_pairs\images\COCO_train2014_000000151573.jpg,"Bathroom with tile floor, sink, bathtub, and toliet."
coco_pairs\images\COCO_train2014_000000258006.jpg,"A very brown, shining dining room holds a table with 6 light teal chairs."
coco_pairs\images\COCO_train2014_000000243820.jpg,"A dark kitchen illuminated with an over-sink light, showing the counter ."
coco_pairs\images\COCO_train2014_000000325073.jpg,"Interior bathroom showing shower curtains, towels, and sunlit window."
coco_pairs\images\COCO_train2014_000000074964.jpg,"The counter next to the stove is littered with dishes, one with a load of good food on it."
coco_pairs\images\COCO_train2014_000000549626.jpg,"An old wooden table has utensils, pots, and pans on it."
coco_pairs\images\COCO_train2014_000000390996.jpg,"A white bathroom with toilet, tub, sink, and windows."
coco_pairs\images\COCO_train2014_000000075811.jpg,"Bathroom scene brown tone, shower area, tissue stand and storage area."
coco_pairs\images\COCO_train2014_000000463844.jpg,"Kitchen scene, looking like a model home, stove/oven, dining nook table."
coco_pairs\images\COCO_train2014_000000005335.jpg,"A very white, well organized bathroom also has a washer tucked beneath storage shelves."
coco_pairs\images\COCO_train2014_000000028914.jpg,"a bathroom with two sinks, soap dispensers and a big mirror"
coco_pairs\images\COCO_train2014_000000018394.jpg,"A close up of a black cat looking upward, away from the camera"
coco_pairs\images\COCO_train2014_000000422294.jpg,"In a forest, a woman holds an umbrella"
coco_pairs\images\COCO_train2014_000000265128.jpg,"In a sink's eye view, a man brushes his teeth with an electric toothbrush."
coco_pairs\images\COCO_train2014_000000554066.jpg,"A stove, refrigerator, microwave, and sink in a kitchen."
coco_pairs\images\COCO_train2014_000000566489.jpg,"A bathroom scene with a toilet, sink, and shower."
coco_pairs\images\COCO_train2014_000000090103.jpg,"Street image of bicycles, probably somewhere in Europe."
coco_pairs\images\COCO_train2014_000000280787.jpg,"A kitchen with an island which includes a dishwasher, a stove, cabinets, a vent and two windows."
coco_pairs\images\COCO_train2014_000000059335.jpg,"a bathroom with shower, toilet, and sink with shelves"
coco_pairs\images\COCO_train2014_000000387153.jpg,"An overview of a kitchen with cabinets, stove and microwave."
coco_pairs\images\COCO_train2014_000000197624.jpg,"An all white bathroom containing a sink, toilet and shower."
coco_pairs\images\COCO_train2014_000000258659.jpg,"A small bathroom with toilet, sink, bathtub, and colorful accessories."
coco_pairs\images\COCO_train2014_000000399154.jpg,"A bathroom with walk-in shower, mirror and sink."
coco_pairs\images\COCO_train2014_000000226691.jpg,"A light colored countertop with a sink, dishwasher, oven, and stove."
coco_pairs\images\COCO_train2014_000000212786.jpg,"Home scene of stairwell and bathroom, shower curtain and partial toilet seat visible."
coco_pairs\images\COCO_train2014_000000118173.jpg,"A green bathroom viewed from the entryway, showing a vanity on one side; tub on the other."
coco_pairs\images\COCO_train2014_000000116393.jpg,"A commercial granite vanity with multiple sinks, soap dispensers and lighted mirrors."
coco_pairs\images\COCO_train2014_000000539966.jpg,"A person walking near a large building in the rain, holding an umbrella."
coco_pairs\images\COCO_train2014_000000329235.jpg,"Bathroom scene of pedestal sink, mirror and overhead window."
coco_pairs\images\COCO_train2014_000000344238.jpg,"A door is open to reveal a mid-sized bathroom with a dark, wood cabinet with a granite surface and a bathtub with a curtained window above it."
coco_pairs\images\COCO_train2014_000000214250.jpg,"A glass of wine, a pepper mill, and oil and vinegar cruets are sitting on the counter."
coco_pairs\images\COCO_train2014_000000485169.jpg,"A clean bathroom features folded towels, a toilet and a sink."
coco_pairs\images\COCO_train2014_000000555910.jpg,"Kitchen stove, sink and shelf over the stove."
coco_pairs\images\COCO_train2014_000000509247.jpg,"A room during construction or remodeling, with exposed insulation, 2x4's, and a worker's toolbox."
coco_pairs\images\COCO_train2014_000000241821.jpg,"A bathroom with a sink, a mirror, and the image of a toilet in the mirror."
coco_pairs\images\COCO_train2014_000000136200.jpg,"Two women are smiling and cooking in a kitchen filled with a counter full of vegetables, potatoes and meat, one is holding a spoon of green beans."
coco_pairs\images\COCO_train2014_000000480683.jpg,"The kitchen has wooden cupboards, plenty of counter space, and a sink adjacent to the oven."
coco_pairs\images\COCO_train2014_000000277810.jpg,"Small bathroom with a toilet, sink, shower, and mirror."
coco_pairs\images\COCO_train2014_000000351164.jpg,"dilapidated, dirty bathroom with mold and water damage"
coco_pairs\images\COCO_train2014_000000085452.jpg,"A microwave oven with its door open, sits on the bathroom floor next to the commode."
coco_pairs\images\COCO_train2014_000000330922.jpg,"A person with a bike and a dog on a leash, boarding a train."
coco_pairs\images\COCO_train2014_000000553984.jpg,"Toilet, pedestal sink and shower with blue trash can."
coco_pairs\images\COCO_train2014_000000212903.jpg,"a woman sitting on a horse,in a open field."
coco_pairs\images\COCO_train2014_000000348277.jpg,"Several antiques, including bike and a clock, hang on a wall."
coco_pairs\images\COCO_train2014_000000071657.jpg,"A cramped airplane restroom, with the Golden Gate Bridge visible through the window."
coco_pairs\images\COCO_train2014_000000323149.jpg,"A bicycle is covered with ribbons, lights and decorations and is parked on a street."
coco_pairs\images\COCO_train2014_000000258362.jpg,"A clean empty bathroom with a chalkboard, trash can and toilet."
coco_pairs\images\COCO_train2014_000000036726.jpg,"A room decorated in white contains a bed, mirror, and sink."
coco_pairs\images\COCO_train2014_000000349263.jpg,"A narrow kitchen with brown cabinets, sink and refrigerator."
coco_pairs\images\COCO_train2014_000000372292.jpg,"Motorcycle slim hog, with chrome, parked in garage."
coco_pairs\images\COCO_train2014_000000277746.jpg,"A woman reflected in the mirror of a large, multi-person bathroom."
coco_pairs\images\COCO_train2014_000000121222.jpg,"A surfer in the ocean, riding a wave to the shore."
coco_pairs\images\COCO_train2014_000000056753.jpg,"A kitchen with green walls, and a cluttered counter."
coco_pairs\images\COCO_train2014_000000292921.jpg,"A bathroom scene complete with a toilet, shower and sink."
coco_pairs\images\COCO_train2014_000000346699.jpg,"A bathroom with a toilet, sink and a shower."
coco_pairs\images\COCO_train2014_000000554040.jpg,"A small bathroom scene depicts a commode, free-standing sink and bathtub with colorful shower curtain."
coco_pairs\images\COCO_train2014_000000287723.jpg,"A man looks at his laptop, as his wife has a cup of coffee."
coco_pairs\images\COCO_train2014_000000306031.jpg,"An empty bathroom with sink, toilet, medicine cabinet and shower."
coco_pairs\images\COCO_train2014_000000352233.jpg,"The view of a tiled bathroom containing a toilet, a bidet, a tub and a sink."
coco_pairs\images\COCO_train2014_000000107249.jpg,"The sink, toilet, and shower are close together in the small bathroom."
coco_pairs\images\COCO_train2014_000000573232.jpg,"The bathroom door is ajar, and the toilet and tiled floor are in view."
coco_pairs\images\COCO_train2014_000000130598.jpg,"A very nice, modern bathroom with toitet, sink and shower."
coco_pairs\images\COCO_train2014_000000361638.jpg,"A clean bathroom with sink, mirror, toilet and shower."
coco_pairs\images\COCO_train2014_000000311354.jpg,"A bathroom, with toilet, shower and sink, sits with the lights on."
coco_pairs\images\COCO_train2014_000000156073.jpg,"A kitchen complete with a refrigerator, dishwasher and a sink."
coco_pairs\images\COCO_train2014_000000261298.jpg,"A person sits in an easy chair using a cell phone, background appears to possibly be a hair or nail salon."
coco_pairs\images\COCO_train2014_000000277096.jpg,"A kitchen area features a silver refrigerator, stove and counters on dark, wood flooring."
coco_pairs\images\COCO_train2014_000000278860.jpg,"Kitchen counter scene showing wood cabinets, knife set and a coffee maker."
coco_pairs\images\COCO_train2014_000000559639.jpg,"A room with a laptop, microwave, and several wine glasses."
coco_pairs\images\COCO_train2014_000000543877.jpg,"A bathroom features white, bowl sinks and a bathtub."
coco_pairs\images\COCO_train2014_000000141200.jpg,"A woman, under an umbrella, walking in the rain."
coco_pairs\images\COCO_train2014_000000207686.jpg,"A bathroom complete with a toilet, sink and window"
coco_pairs\images\COCO_train2014_000000409877.jpg,"Winter scene, close to white out conditions, man in heavy dark green jacket and cap, near tent and skiing equipment."
coco_pairs\images\COCO_train2014_000000381275.jpg,"A bathroom complete with a toilet, sink and bathtub."
coco_pairs\images\COCO_train2014_000000125821.jpg,"A small kitchen with a refrigerator, microwave, and dishwasher."
coco_pairs\images\COCO_train2014_000000403028.jpg,"A kitchen with a sink on one side and a refrigerator, stove, microwave, and oven on the other side."
coco_pairs\images\COCO_train2014_000000172398.jpg,"A bathroom complete with a sink, toilet and a bathtub."
coco_pairs\images\COCO_train2014_000000236314.jpg,"Legs of man with tattoos, standing on towel with cat, in bathroom."
coco_pairs\images\COCO_train2014_000000246852.jpg,"A table set out with books, papers, and bowls,"
coco_pairs\images\COCO_train2014_000000111447.jpg,"A man is playfully sitting on a toilet in a room being renovated,"
coco_pairs\images\COCO_train2014_000000406368.jpg,"A beet that is chopped in half, on a chopping board with a knife."
coco_pairs\images\COCO_train2014_000000139152.jpg,"A gray and black raven sits on top of the car, looking as if he could talk if he wanted to."
coco_pairs\images\COCO_train2014_000000518853.jpg,"A lady at an intersection on her bicycle, waiting for the traffic light to change"
coco_pairs\images\COCO_train2014_000000378558.jpg,"A bathroom showing the top of a toilet tank, sink and mirror."
coco_pairs\images\COCO_train2014_000000002664.jpg,"LOTS OF BICYCLES AND PEOPLE, WITH A CHASE LOUNGE ON ONE."
coco_pairs\images\COCO_train2014_000000548711.jpg,"Woman in wet suit holding tri-fin white surfboard with green trim, in surf, ocean to her back, good sun light."
coco_pairs\images\COCO_train2014_000000149079.jpg,"A clean, small, white bathroom with a window."
coco_pairs\images\COCO_train2014_000000450666.jpg,"A view of a city intersection with cars, transit buses, and pedestrians"
coco_pairs\images\COCO_train2014_000000065247.jpg,"A toilet, sink and first aid kit in a bathroom."
coco_pairs\images\COCO_train2014_000000228435.jpg,"A bathroom sink topped with soap, cosmetics and a hairbrush."
coco_pairs\images\COCO_train2014_000000514881.jpg,"A kitchen containing cabinets, a counter, and a refrigerator"
coco_pairs\images\COCO_train2014_000000059471.jpg,"A kitchen area with a sink, stove, white cabinets and a door and window."
coco_pairs\images\COCO_train2014_000000471790.jpg,"recreational vehicle kitchen with sink, oven and dishwasher."
coco_pairs\images\COCO_train2014_000000495957.jpg,"Small bathroom with a small sink, toilet, and glass shower."
coco_pairs\images\COCO_train2014_000000288547.jpg,"Some cars at a traffic light, one with a red sticker on the back"
coco_pairs\images\COCO_train2014_000000492040.jpg,"TWO WOMEN SITTING AT THE KITCHEN BAR, WHILE A MAN IS COOKING"
coco_pairs\images\COCO_train2014_000000356479.jpg,"A restroom wtih green bath tub, lavatory and mirror."
coco_pairs\images\COCO_train2014_000000471851.jpg,"Kitchen with brown cabinets, green counter tops and a washing machine."
coco_pairs\images\COCO_train2014_000000407289.jpg,"A kitchen scene complete with an oven, microwave and a sink."
coco_pairs\images\COCO_train2014_000000488941.jpg,"A restroom scene with a urinal, toilet and a painted mural."
coco_pairs\images\COCO_train2014_000000018316.jpg,"A kitchen scene complete with an oven, sink and a dining room table."
coco_pairs\images\COCO_train2014_000000045059.jpg,"blurry shot of a city at night with pedestrians, bikers and a bus"
coco_pairs\images\COCO_train2014_000000170308.jpg,"An interior room with a white door, wooden shelf and window."
coco_pairs\images\COCO_train2014_000000534040.jpg,"A fully tiled bathroom with a bathtub and bowl type sink, and a wooden framed mirror."
coco_pairs\images\COCO_train2014_000000117784.jpg,"A household kitchen with sink refrigerator, and dining table"
coco_pairs\images\COCO_train2014_000000475645.jpg,"Combined kitchen and living room with stools, table and chairs, and AV setup."
coco_pairs\images\COCO_train2014_000000301888.jpg,"A small bathroom with a yellow toilet, sink area and shower."
coco_pairs\images\COCO_train2014_000000581392.jpg,"A bathroom with a white toilet and shower head sprayer attached above, along with rolls or toilet paper on a towel rack."
coco_pairs\images\COCO_train2014_000000378461.jpg,"A kitchen with light colored wood cabinets, a black dishwasher and a sink in front or a window."
coco_pairs\images\COCO_train2014_000000403325.jpg,"A spotless kitchen has a stove, utensils, and a microwave."
coco_pairs\images\COCO_train2014_000000452905.jpg,"PERSON RIDING IN CROSS COUNTRY GEAR, DRINKING WHILE RIDING"
coco_pairs\images\COCO_train2014_000000321209.jpg,"LOTS OF MEN ALL DRESSED UP, MOST SITTING ON BENCHES"
coco_pairs\images\COCO_train2014_000000148635.jpg,"A worn, brown case sits behind someones legs on a tiled floor"
coco_pairs\images\COCO_train2014_000000168992.jpg,"A man smokes, standing by two tilling horses on a farm."
coco_pairs\images\COCO_train2014_000000061936.jpg,"A bathroom has patterned walls, a urinal, and a toilet."
coco_pairs\images\COCO_train2014_000000145129.jpg,"The front of a bicycle with a carrying unit attached that has a bag, a box and a piece of furniture with three books on it."
coco_pairs\images\COCO_train2014_000000511789.jpg,"A woman making cupcakes in a kitchen, with a young child watching in the corner of the picture."
coco_pairs\images\COCO_train2014_000000420506.jpg,"A bare white, undecorated bathroom with tub, toilet, and window."
coco_pairs\images\COCO_train2014_000000580431.jpg,"a bathroom with a window, sink and toilet"
coco_pairs\images\COCO_train2014_000000186196.jpg,"A man stands at a street corner, holding some groceries."
coco_pairs\images\COCO_train2014_000000311771.jpg,"A clean bathroom with mirror, bathtub, windows and sink."
coco_pairs\images\COCO_train2014_000000246156.jpg,"A silver bicycle stands next to a brick wall and supports a brown, wooden crate."
coco_pairs\images\COCO_train2014_000000565788.jpg,"A bathroom with two sinks, a mirror over the sink, and a bathtub."
coco_pairs\images\COCO_train2014_000000382261.jpg,"A large kitchen with a refrigerator, range, dishwasher, and microwave."
coco_pairs\images\COCO_train2014_000000110484.jpg,"A modern white kitchen with an electric stove, sink and other items on the cabinets."
coco_pairs\images\COCO_train2014_000000119276.jpg,"A small, modest kitchen is illuminated by an overhead lamp."
coco_pairs\images\COCO_train2014_000000108598.jpg,"A bathroom scene complete with a toilet, sink, and bathtub."
coco_pairs\images\COCO_train2014_000000532131.jpg,"A coffee pot, tea kettle and microwave are on the countertop."
coco_pairs\images\COCO_train2014_000000539026.jpg,"A small, cramped bathroom with women's sandals and accessories."
coco_pairs\images\COCO_train2014_000000466378.jpg,"A compost can containing egg shells, coffee grounds, and banana peels."
coco_pairs\images\COCO_train2014_000000302511.jpg,"A modern kitchen with a sink, fridge, and table."
coco_pairs\images\COCO_train2014_000000286700.jpg,"a bathroom with a white sink, a tub."
coco_pairs\images\COCO_train2014_000000142485.jpg,"computer generated image of a sink, toilet, and bathtub in a bathroom"
coco_pairs\images\COCO_train2014_000000272072.jpg,"a bathroom with tiled walls, a shower, and a tub."
coco_pairs\images\COCO_train2014_000000265432.jpg,"a bathroom with open drawers, a full counter and a sink."
coco_pairs\images\COCO_train2014_000000371705.jpg,"A room with wooden beams across the ceiling, a bed met on the floor and a glass wall seperating the room."
coco_pairs\images\COCO_train2014_000000043011.jpg,"A bathroom with a sink, toilet, and bathtub."
coco_pairs\images\COCO_train2014_000000475527.jpg,"Three people sitting in a room, one of them on the phone."
coco_pairs\images\COCO_train2014_000000549725.jpg,"The kitchen is large, and is very tidy."
coco_pairs\images\COCO_train2014_000000164348.jpg,"A living room with a bicycle, television, and coffee table."
coco_pairs\images\COCO_train2014_000000281763.jpg,"An apartment bathroom with toilet, shower and commode."
coco_pairs\images\COCO_train2014_000000215738.jpg,"On a wide street are people walking, on bikes, or in trucks."
coco_pairs\images\COCO_train2014_000000363940.jpg,"ted, a guy, and girl sitting on a couch drinking."
coco_pairs\images\COCO_train2014_000000017301.jpg,"Bathroom with sink, toilet, washing machine and partial bathtub view."
coco_pairs\images\COCO_train2014_000000285998.jpg,"A kitchen, including a table, oven and cabinets."
coco_pairs\images\COCO_train2014_000000271604.jpg,"A modernist kitchen, with a white and aluminum color theme."
coco_pairs\images\COCO_train2014_000000174876.jpg,"Two people in a kitchen area, standing next to the counter."
coco_pairs\images\COCO_train2014_000000479202.jpg,"A photograph of a white sink in a stone vanity, with a mirror above."
coco_pairs\images\COCO_train2014_000000124311.jpg,"Two beds in a tiled room, both with lime green bedspreads."
coco_pairs\images\COCO_train2014_000000448648.jpg,"A pedi-cab, scooters and cars on a street."
coco_pairs\images\COCO_train2014_000000385426.jpg,"A bathroom with a large circular mirror above a large vanity sink, with a shower and tub to the side of it."
coco_pairs\images\COCO_train2014_000000335380.jpg,"A toilet, sink, and tub are reflected in a bathroom mirror."
coco_pairs\images\COCO_train2014_000000357865.jpg,"A small bathroom has towels, rugs, and a gray floor."
coco_pairs\images\COCO_train2014_000000106964.jpg,"A restaurant grill, littered with barbecue sauces, stands empty."
coco_pairs\images\COCO_train2014_000000183068.jpg,"A group of people gather on a road, some on bikes, some with cars, some on foot."
coco_pairs\images\COCO_train2014_000000332202.jpg,"A somewhat disorganized looking kitchen with old, wooden flooring."
coco_pairs\images\COCO_train2014_000000155937.jpg,"An empty efficiency kitchen includes a table with chairs, a refrigerator, a coffee maker and a wide window."
coco_pairs\images\COCO_train2014_000000153655.jpg,"A park with trees, bushes, walkways and benches in front of a skyline of buildings."
coco_pairs\images\COCO_train2014_000000229142.jpg,"Various kitchen appliances including a stove, refrigerator and microwave."
coco_pairs\images\COCO_train2014_000000455342.jpg,"shot of bathroom that includes a sink, toilet and bundle of towels."
coco_pairs\images\COCO_train2014_000000324764.jpg,"An empty modern family kitchen includes a stove, a dishwasher, a sink and a refrigerator."
coco_pairs\images\COCO_train2014_000000578276.jpg,"A bathroom with white tile flooring and a backsplash, and floral designed wall paper at the top of the walls."
coco_pairs\images\COCO_train2014_000000451033.jpg,"A kitchen with an door bathroom, wooden tables, and no one is present."
coco_pairs\images\COCO_train2014_000000571848.jpg,"Two people are sharing a motorcycle, driving with an umbrella in the rain."
coco_pairs\images\COCO_train2014_000000483357.jpg,"An empty clean bathroom with a tiled floor, bathtub and sink."
coco_pairs\images\COCO_train2014_000000526104.jpg,"A decrepit bathroom with rusted bathtub, radiator and tattered hangings."
coco_pairs\images\COCO_train2014_000000225363.jpg,"A kitchen with a double sink, green cabinets and stainless steel appliances."
coco_pairs\images\COCO_train2014_000000471686.jpg,"A bearded man sits at his kitchen table by the window in the background; in the foreground is a small, cluttered kitchen that has a washing machine installed beneath the sink."
coco_pairs\images\COCO_train2014_000000435218.jpg,"A white and silver kitchen with stove, dishwasher, and sink."
coco_pairs\images\COCO_train2014_000000475316.jpg,"A kitchen and dining area with wood floors and wood cabinets, with no seperating wall for the two areas."
coco_pairs\images\COCO_train2014_000000521107.jpg,"A dimly lit clean bathroom featuring a toilet, mirror and counter"
coco_pairs\images\COCO_train2014_000000416281.jpg,"A vintage-styled attic bathroom is painted a great shade of green, and has a claw-foot tub."
coco_pairs\images\COCO_train2014_000000200206.jpg,"An break-room with a sink, hot plate and microwave."
coco_pairs\images\COCO_train2014_000000457087.jpg,"Kitchen scene, white tones, electric stove/oven, dish washer, sink cabinets.."
coco_pairs\images\COCO_train2014_000000203926.jpg,"The American Dream: House, Skis, Wife, Dog, Boat"
coco_pairs\images\COCO_train2014_000000388740.jpg,"Two people in a small, old fashioned kitchen."
coco_pairs\images\COCO_train2014_000000414258.jpg,"We see a close up view of a peeled, half eaten banana."
coco_pairs\images\COCO_train2014_000000463739.jpg,"An apartment kitchen with a fridge, window and dining room table."
coco_pairs\images\COCO_train2014_000000106902.jpg,"A white kitchen with a range, dishwasher, and fridge."
coco_pairs\images\COCO_train2014_000000272385.jpg,"A bathroom with floral wallpaper, a vanity mirror and sink."
coco_pairs\images\COCO_train2014_000000481648.jpg,"A kitchen contains several appliances, including one on top of a fold-out table."
coco_pairs\images\COCO_train2014_000000222829.jpg,"A small, old bathroom with a claw-foot tub"
coco_pairs\images\COCO_train2014_000000256550.jpg,"A man is sitting, fully clothes on a toilet with a lap top."
coco_pairs\images\COCO_train2014_000000195927.jpg,"A kitchen with a small stove, a sink with two faucets extending from the wall and yellow painted walls and cabinets."
coco_pairs\images\COCO_train2014_000000268151.jpg,"A very sleek, clean and dark modern kitchen."
coco_pairs\images\COCO_train2014_000000357641.jpg,"A very plain, cookie cutter bathroom with double sinks."
coco_pairs\images\COCO_train2014_000000501966.jpg,"A kitchen scene complete with a microwave, oven and a refrigerator."
coco_pairs\images\COCO_train2014_000000348478.jpg,"A kitchen scene showing a stove, oven, and counters."
coco_pairs\images\COCO_train2014_000000229525.jpg,"A bathroom with a shower stall, sink, and the door open."
coco_pairs\images\COCO_train2014_000000502116.jpg,"Two cops on horseback on a city street, with cars backed up behind them."
coco_pairs\images\COCO_train2014_000000242116.jpg,"A kitchen with an old-fashioned stove, and many toasters on the floor."
coco_pairs\images\COCO_train2014_000000543447.jpg,"A modern kitchen complete with a sink, oven, range and a refrigerator."
coco_pairs\images\COCO_train2014_000000342353.jpg,"A chef teaching two students, who are cutting cucumbers."
coco_pairs\images\COCO_train2014_000000172899.jpg,"A bathroom scene complete with a tab, sink and toilet."
coco_pairs\images\COCO_train2014_000000523055.jpg,"A kitchen sink complete with a table, sink and a microwave."
coco_pairs\images\COCO_train2014_000000149327.jpg,"People gathered outside as if on street street side restaurant, common to a European style city."
coco_pairs\images\COCO_train2014_000000478645.jpg,"A white bathroom with toilet, sink, and shower."
coco_pairs\images\COCO_train2014_000000362739.jpg,"A street with a red and white bus, a person on a bicycle and a person riding a motor bike on the street."
